Surname, Name, Home Number, Work Number, Mobile Number
0,183,2,Monday,7:00
0,166,2,,
0,167,1,,
0,168,1,,
0,169,1,,
0,170,1,,
0,172,1,,
0,173,1,,
0,175,1,,
0,174,1,,
0,176,1,,
0,178,1,,
0,163,2,,
0,165,2,,
0,122,2,,
0,97,0,,
0,164,2,,
0,193,0,,
0,151,2,,
0,93,0,,
0,195,3,,
0,104,3,,
0,111,0,,
0,114,0,,
0,162,2,,
0,154,2,,
0,121,2,,
0,57,0,,
0,184,2,Monday,7:00
0,124,2,,
0,179,1,,
0,161,2,,
0,134,2,,
0,135,2,,
0,160,2,,
0,159,2,,
0,139,0,,
0,158,2,,
0,152,2,,
0,18,0,,
0,156,2,,
0,34,0,,
0,132,2,,
0,125,2,,
0,126,2,,
0,177,1,,
0,127,2,,
0,202,3,,
0,52,3,,
0,180,3,,
0,129,2,,
0,42,0,,
0,130,2,,
0,153,2,,
2,102,0,,
2,103,3,,
2,209,1,Monday,6:00
2,187,3,Monday,7:00
15,120,0,,
15,112,0,,
16,128,2,,
16,203,3,,
16,44,3,,
17,53,0,,
17,107,0,,
20,116,0,,
21,204,2,,
22,54,0,,
22,110,0,,
23,188,3,Monday,7:00
24,106,2,,
24,136,3,,
24,86,2,,
26,189,3,Monday,7:00
26,206,3,Monday,7:00
26,38,0,,
26,88,3,,
26,87,3,,
26,105,2,,
27,25,3,,
29,113,3,,
30,29,2,,
30,208,3,Monday,7:00
30,83,2,,
30,31,3,,
30,33,0,,
30,32,3,,
30,79,3,,
30,80,0,,
30,81,0,,
30,108,3,,
31,131,2,,
31,201,3,,
31,90,0,,
31,30,2,,
31,196,3,,
31,190,3,Monday,7:00
31,95,2,,
31,14,3,,
31,92,3,,
32,192,3,,
32,194,3,,
32,197,3,,
32,200,3,,
32,199,3,,
32,39,3,,
32,186,3,Monday,7:00
32,36,0,,
32,47,3,,
32,89,3,,
32,91,3,,
34,51,0,,
34,148,3,Monday,7:00
34,49,0,,
34,55,3,,
34,198,3,,
34,207,3,Monday,7:00
34,99,3,,
34,101,0,,
34,191,4,Monday,
34,100,3,,
34,150,4,Monday,
36,26,0,Monday,7:00
44,13,3,Monday,7:00
